ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
15,0,0,2023-5-8 19:35:41.628,2023-5-8 19:35:46.631,2023-5-8 19:35:54.511,p,2023-5-8 19:35:54.135,c
15,0,1,2023-5-8 19:35:56.351,2023-5-8 19:35:58.358,2023-5-8 19:36:5.270,p,2023-5-8 19:36:4.855,l
15,0,2,2023-5-8 19:36:7.71,2023-5-8 19:36:9.78,2023-5-8 19:36:17.425,q,2023-5-8 19:36:17.79,s
15,0,3,2023-5-8 19:36:20.135,2023-5-8 19:36:22.142,2023-5-8 19:36:27.568,p,2023-5-8 19:36:27.142,t
15,0,4,2023-5-8 19:36:29.845,2023-5-8 19:36:31.846,2023-5-8 19:36:40.753,q,2023-5-8 19:36:40.350,s
15,0,5,2023-5-8 19:36:42.209,2023-5-8 19:36:44.214,2023-5-8 19:36:54.528,p,2023-5-8 19:36:54.215,l
15,0,6,2023-5-8 19:36:56.679,2023-5-8 19:36:58.686,2023-5-8 19:37:2.598,q,2023-5-8 19:37:2.183,c
15,0,7,2023-5-8 19:37:4.818,2023-5-8 19:37:6.822,2023-5-8 19:37:16.320,q,2023-5-8 19:37:15.823,t
15,0,8,2023-5-8 19:37:18.553,2023-5-8 19:37:20.558,2023-5-8 19:37:29.122,p,2023-5-8 19:37:28.559,r
15,0,9,2023-5-8 19:37:31.180,2023-5-8 19:37:33.182,2023-5-8 19:37:41.145,q,2023-5-8 19:37:40.687,l
15,1,0,2023-5-8 19:39:55.371,2023-5-8 19:40:0.375,2023-5-8 19:40:5.165,p,2023-5-8 19:40:4.878,t
15,1,1,2023-5-8 19:40:6.816,2023-5-8 19:40:8.822,2023-5-8 19:40:13.210,q,2023-5-8 19:40:12.823,r
15,1,2,2023-5-8 19:40:15.704,2023-5-8 19:40:17.710,2023-5-8 19:40:22.425,p,2023-5-8 19:40:22.207,r
15,1,3,2023-5-8 19:40:24.917,2023-5-8 19:40:26.918,2023-5-8 19:40:36.449,q,2023-5-8 19:40:35.919,m
15,1,4,2023-5-8 19:40:38.378,2023-5-8 19:40:40.382,2023-5-8 19:40:46.586,p,2023-5-8 19:40:46.383,n
15,1,5,2023-5-8 19:40:48.375,2023-5-8 19:40:50.382,2023-5-8 19:40:56.390,q,2023-5-8 19:40:55.878,n
15,1,6,2023-5-8 19:40:58.173,2023-5-8 19:41:0.174,2023-5-8 19:41:8.616,p,2023-5-8 19:41:8.175,c
15,1,7,2023-5-8 19:41:10.948,2023-5-8 19:41:12.950,2023-5-8 19:41:19.183,q,2023-5-8 19:41:18.951,s
15,1,8,2023-5-8 19:41:21.542,2023-5-8 19:41:23.550,2023-5-8 19:41:32.998,p,2023-5-8 19:41:32.551,r
15,1,9,2023-5-8 19:41:35.140,2023-5-8 19:41:37.142,2023-5-8 19:41:45.414,q,2023-5-8 19:41:45.143,n
15,2,0,2023-5-8 19:44:11.64,2023-5-8 19:44:16.71,2023-5-8 19:44:20.949,p,2023-5-8 19:44:20.567,c
15,2,1,2023-5-8 19:44:22.849,2023-5-8 19:44:24.854,2023-5-8 19:44:33.232,p,2023-5-8 19:44:32.855,l
15,2,2,2023-5-8 19:44:35.54,2023-5-8 19:44:37.54,2023-5-8 19:44:42.912,q,2023-5-8 19:44:42.559,c
15,2,3,2023-5-8 19:44:44.566,2023-5-8 19:44:46.566,2023-5-8 19:44:57.540,p,2023-5-8 19:44:57.71,m
15,2,4,2023-5-8 19:44:59.550,2023-5-8 19:45:1.558,2023-5-8 19:45:7.895,q,2023-5-8 19:45:7.559,t
15,2,5,2023-5-8 19:45:9.634,2023-5-8 19:45:11.638,2023-5-8 19:45:21.175,p,2023-5-8 19:45:20.639,l
