ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
9,0,0,2023-4-26 19:37:49.146,2023-4-26 19:37:54.149,2023-4-26 19:38:0.361,p,2023-4-26 19:38:0.149,l
9,0,1,2023-4-26 19:38:1.925,2023-4-26 19:38:3.933,2023-4-26 19:38:6.881,p,2023-4-26 19:38:6.429,m
9,0,2,2023-4-26 19:38:8.706,2023-4-26 19:38:10.709,2023-4-26 19:38:16.728,q,2023-4-26 19:38:16.213,n
9,0,3,2023-4-26 19:38:18.6,2023-4-26 19:38:20.13,2023-4-26 19:38:25.991,q,2023-4-26 19:38:25.509,c
9,0,4,2023-4-26 19:38:27.693,2023-4-26 19:38:29.701,2023-4-26 19:38:37.901,p,2023-4-26 19:38:37.701,m
9,0,5,2023-4-26 19:38:39.485,2023-4-26 19:38:41.493,2023-4-26 19:38:48.509,q,2023-4-26 19:38:47.989,n
9,0,6,2023-4-26 19:38:50.30,2023-4-26 19:38:52.37,2023-4-26 19:39:0.742,p,2023-4-26 19:39:0.533,n
9,0,7,2023-4-26 19:39:1.797,2023-4-26 19:39:3.804,2023-4-26 19:39:12.692,q,2023-4-26 19:39:12.301,d
9,0,8,2023-4-26 19:39:14.436,2023-4-26 19:39:16.437,2023-4-26 19:39:23.763,q,2023-4-26 19:39:23.445,r
9,0,9,2023-4-26 19:39:25.367,2023-4-26 19:39:27.373,2023-4-26 19:39:32.569,q,2023-4-26 19:39:32.373,l
9,0,10,2023-4-26 19:39:33.506,2023-4-26 19:39:35.509,2023-4-26 19:39:44.289,p,2023-4-26 19:39:44.13,t
9,1,0,2023-4-26 19:41:20.488,2023-4-26 19:41:25.493,2023-4-26 19:41:30.759,p,2023-4-26 19:41:30.493,n
9,1,1,2023-4-26 19:41:32.193,2023-4-26 19:41:34.197,2023-4-26 19:41:39.283,q,2023-4-26 19:41:39.197,r
9,1,2,2023-4-26 19:41:40.818,2023-4-26 19:41:42.821,2023-4-26 19:41:49.628,p,2023-4-26 19:41:49.325,s
9,1,3,2023-4-26 19:41:51.112,2023-4-26 19:41:53.117,2023-4-26 19:42:1.880,p,2023-4-26 19:42:1.613,t
9,1,4,2023-4-26 19:42:3.301,2023-4-26 19:42:5.309,2023-4-26 19:42:14.722,q,2023-4-26 19:42:14.309,m
9,1,5,2023-4-26 19:42:16.484,2023-4-26 19:42:18.485,2023-4-26 19:42:26.661,q,2023-4-26 19:42:26.485,d
9,1,6,2023-4-26 19:42:27.711,2023-4-26 19:42:29.717,2023-4-26 19:42:38.926,p,2023-4-26 19:42:38.717,r
