ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
11,0,0,2023-4-28 20:46:54.195,2023-4-28 20:46:59.203,2023-4-28 20:47:2.255,p,2023-4-28 20:47:1.699,l
11,0,1,2023-4-28 20:47:3.888,2023-4-28 20:47:5.890,2023-4-28 20:47:9.303,p,2023-4-28 20:47:8.891,m
11,0,2,2023-4-28 20:47:10.942,2023-4-28 20:47:12.947,2023-4-28 20:47:16.651,q,2023-4-28 20:47:16.451,t
11,0,3,2023-4-28 20:47:18.95,2023-4-28 20:47:20.98,2023-4-28 20:47:22.927,p,2023-4-28 20:47:22.603,c
11,0,4,2023-4-28 20:47:24.77,2023-4-28 20:47:26.83,2023-4-28 20:47:29.957,q,2023-4-28 20:47:29.579,l
11,0,5,2023-4-28 20:47:31.529,2023-4-28 20:47:33.531,2023-4-28 20:47:36.106,p,2023-4-28 20:47:35.531,c
11,0,6,2023-4-28 20:47:37.785,2023-4-28 20:47:39.786,2023-4-28 20:47:44.50,p,2023-4-28 20:47:43.787,s
11,0,7,2023-4-28 20:47:45.460,2023-4-28 20:47:47.467,2023-4-28 20:47:51.195,q,2023-4-28 20:47:50.963,l
11,0,8,2023-4-28 20:47:52.625,2023-4-28 20:47:54.627,2023-4-28 20:47:58.823,p,2023-4-28 20:47:58.627,l
11,0,9,2023-4-28 20:48:0.200,2023-4-28 20:48:2.203,2023-4-28 20:48:6.511,q,2023-4-28 20:48:6.203,r
11,0,10,2023-4-28 20:48:7.961,2023-4-28 20:48:9.963,2023-4-28 20:48:14.311,p,2023-4-28 20:48:13.963,l
11,0,11,2023-4-28 20:48:15.710,2023-4-28 20:48:17.715,2023-4-28 20:48:21.256,q,2023-4-28 20:48:20.715,t
11,0,12,2023-4-28 20:48:22.601,2023-4-28 20:48:24.603,2023-4-28 20:48:29.393,p,2023-4-28 20:48:29.107,l
