ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
10,0,0,2023-4-28 19:35:1.600,2023-4-28 19:35:6.603,2023-4-28 19:35:7.620,q,2023-4-28 19:35:7.107,l
10,0,1,2023-4-28 19:35:9.37,2023-4-28 19:35:11.43,2023-4-28 19:35:12.118,p,2023-4-28 19:35:12.43,r
10,0,2,2023-4-28 19:35:13.529,2023-4-28 19:35:15.531,2023-4-28 19:35:16.396,p,2023-4-28 19:35:15.531,c
10,0,3,2023-4-28 19:35:19.561,2023-4-28 19:35:21.563,2023-4-28 19:35:22.814,q,2023-4-28 19:35:21.563,n
10,0,4,2023-4-28 19:35:25.7,2023-4-28 19:35:27.10,2023-4-28 19:35:29.639,q,2023-4-28 19:35:29.11,r
10,0,5,2023-4-28 19:35:31.233,2023-4-28 19:35:33.235,2023-4-28 19:35:36.319,p,2023-4-28 19:35:35.739,s
10,0,6,2023-4-28 19:35:39.65,2023-4-28 19:35:41.67,2023-4-28 19:35:43.342,q,2023-4-28 19:35:42.571,c
10,0,7,2023-4-28 19:35:46.105,2023-4-28 19:35:48.107,2023-4-28 19:35:53.186,p,2023-4-28 19:35:52.611,r
10,0,8,2023-4-28 19:35:55.309,2023-4-28 19:35:57.315,2023-4-28 19:35:58.991,q,2023-4-28 19:35:58.811,s
10,0,9,2023-4-28 19:36:0.799,2023-4-28 19:36:2.803,2023-4-28 19:36:6.502,p,2023-4-28 19:36:5.803,c
10,0,10,2023-4-28 19:36:7.901,2023-4-28 19:36:9.907,2023-4-28 19:36:12.843,q,2023-4-28 19:36:12.403,d
10,0,11,2023-4-28 19:36:15.244,2023-4-28 19:36:17.251,2023-4-28 19:36:22.61,p,2023-4-28 19:36:21.747,m
10,0,12,2023-4-28 19:36:24.66,2023-4-28 19:36:26.74,2023-4-28 19:36:29.257,q,2023-4-28 19:36:27.507,#
10,0,13,2023-4-28 19:36:33.244,2023-4-28 19:36:35.251,2023-4-28 19:36:37.550,p,2023-4-28 19:36:36.747,m
10,0,14,2023-4-28 19:36:39.168,2023-4-28 19:36:41.170,2023-4-28 19:36:44.15,q,2023-4-28 19:36:43.675,m
10,0,15,2023-4-28 19:36:51.486,2023-4-28 19:36:53.491,2023-4-28 19:36:57.674,p,2023-4-28 19:36:57.491,c
10,1,0,2023-4-28 19:39:1.796,2023-4-28 19:39:6.803,2023-4-28 19:39:10.469,p,2023-4-28 19:39:10.299,l
10,1,1,2023-4-28 19:39:12.96,2023-4-28 19:39:14.99,2023-4-28 19:39:18.237,p,2023-4-28 19:39:18.99,n
10,1,2,2023-4-28 19:39:21.796,2023-4-28 19:39:23.803,2023-4-28 19:39:28.241,q,2023-4-28 19:39:26.803,t
10,1,3,2023-4-28 19:39:30.360,2023-4-28 19:39:32.362,2023-4-28 19:39:36.940,p,2023-4-28 19:39:36.363,m
10,1,4,2023-4-28 19:39:39.363,2023-4-28 19:39:41.370,2023-4-28 19:39:45.284,q,2023-4-28 19:39:44.867,n
10,1,5,2023-4-28 19:39:47.909,2023-4-28 19:39:49.915,2023-4-28 19:39:52.976,q,2023-4-28 19:39:52.411,r
10,1,6,2023-4-28 19:39:54.861,2023-4-28 19:39:56.867,2023-4-28 19:40:1.16,p,2023-4-28 19:40:0.363,s
10,1,7,2023-4-28 19:40:2.833,2023-4-28 19:40:4.835,2023-4-28 19:40:9.268,q,2023-4-28 19:40:8.835,m
10,1,8,2023-4-28 19:40:10.848,2023-4-28 19:40:12.850,2023-4-28 19:40:18.404,p,2023-4-28 19:40:17.851,t
10,1,9,2023-4-28 19:40:20.207,2023-4-28 19:40:22.211,2023-4-28 19:40:25.182,q,2023-4-28 19:40:24.715,r
10,1,10,2023-4-28 19:40:26.664,2023-4-28 19:40:28.667,2023-4-28 19:40:31.766,p,2023-4-28 19:40:31.171,r
10,1,11,2023-4-28 19:40:32.834,2023-4-28 19:40:34.835,2023-4-28 19:40:37.999,q,2023-4-28 19:40:37.843,l
10,1,12,2023-4-28 19:40:41.205,2023-4-28 19:40:43.211,2023-4-28 19:40:45.853,q,2023-4-28 19:40:45.211,l
10,1,13,2023-4-28 19:40:47.510,2023-4-28 19:40:49.515,2023-4-28 19:40:52.972,q,2023-4-28 19:40:52.515,t
10,1,14,2023-4-28 19:40:54.386,2023-4-28 19:40:56.387,2023-4-28 19:41:0.27,q,2023-4-28 19:40:59.387,l
10,2,0,2023-4-28 19:42:48.587,2023-4-28 19:42:53.595,2023-4-28 19:42:55.50,p,2023-4-28 19:42:54.595,r
10,2,1,2023-4-28 19:42:56.470,2023-4-28 19:42:58.474,2023-4-28 19:43:2.135,q,2023-4-28 19:43:1.475,r
10,2,2,2023-4-28 19:43:3.867,2023-4-28 19:43:5.875,2023-4-28 19:43:9.990,q,2023-4-28 19:43:9.371,c
