ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
13,0,0,2023-5-3 19:41:38.450,2023-5-3 19:41:43.453,2023-5-3 19:41:49.150,q,2023-5-3 19:41:48.957,c
13,0,1,2023-5-3 19:41:52.821,2023-5-3 19:41:54.829,2023-5-3 19:42:4.953,p,2023-5-3 19:42:4.829,d
13,0,2,2023-5-3 19:42:7.674,2023-5-3 19:42:9.676,2023-5-3 19:42:19.793,q,2023-5-3 19:42:19.677,n
13,0,3,2023-5-3 19:42:22.675,2023-5-3 19:42:24.676,2023-5-3 19:42:41.155,p,2023-5-3 19:42:40.677,c
13,0,4,2023-5-3 19:42:43.514,2023-5-3 19:42:45.516,2023-5-3 19:43:1.207,p,2023-5-3 19:43:0.517,d
13,0,5,2023-5-3 19:43:3.360,2023-5-3 19:43:5.364,2023-5-3 19:43:18.947,q,2023-5-3 19:43:18.869,m
13,0,6,2023-5-3 19:43:22.336,2023-5-3 19:43:24.340,2023-5-3 19:43:31.926,q,2023-5-3 19:43:31.837,s
13,1,0,2023-5-3 19:45:5.883,2023-5-3 19:45:10.885,2023-5-3 19:45:17.95,q,2023-5-3 19:45:16.885,r
13,1,1,2023-5-3 19:45:20.78,2023-5-3 19:45:22.84,2023-5-3 19:45:31.801,p,2023-5-3 19:45:31.581,l
13,1,2,2023-5-3 19:45:34.4,2023-5-3 19:45:36.12,2023-5-3 19:45:44.121,q,2023-5-3 19:45:44.13,c
13,1,3,2023-5-3 19:45:46.296,2023-5-3 19:45:48.300,2023-5-3 19:45:59.438,p,2023-5-3 19:45:59.301,s
13,1,4,2023-5-3 19:46:1.861,2023-5-3 19:46:3.868,2023-5-3 19:46:15.133,q,2023-5-3 19:46:14.869,l
13,1,5,2023-5-3 19:46:17.775,2023-5-3 19:46:19.780,2023-5-3 19:46:33.462,p,2023-5-3 19:46:33.277,l
13,1,6,2023-5-3 19:46:36.37,2023-5-3 19:46:38.44,2023-5-3 19:46:46.265,q,2023-5-3 19:46:46.45,m
13,1,7,2023-5-3 19:46:49.856,2023-5-3 19:46:51.860,2023-5-3 19:47:0.340,p,2023-5-3 19:46:59.861,d
13,2,0,2023-5-3 19:48:31.515,2023-5-3 19:48:36.517,2023-5-3 19:48:44.169,p,2023-5-3 19:48:43.517,r
13,2,1,2023-5-3 19:48:47.228,2023-5-3 19:48:49.236,2023-5-3 19:48:59.448,q,2023-5-3 19:48:59.237,s
13,2,2,2023-5-3 19:49:4.122,2023-5-3 19:49:6.124,2023-5-3 19:49:17.250,q,2023-5-3 19:49:16.125,m
13,2,3,2023-5-3 19:49:20.564,2023-5-3 19:49:22.564,2023-5-3 19:49:38.964,p,2023-5-3 19:49:38.565,d
