ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
12,0,0,2023-5-2 21:26:3.484,2023-5-2 21:26:8.487,2023-5-2 21:26:11.911,p,2023-5-2 21:26:11.487,c
12,0,1,2023-5-2 21:26:14.151,2023-5-2 21:26:16.158,2023-5-2 21:26:20.492,q,2023-5-2 21:26:20.159,c
12,0,2,2023-5-2 21:26:22.567,2023-5-2 21:26:24.574,2023-5-2 21:26:29.135,p,2023-5-2 21:26:28.575,d
12,0,3,2023-5-2 21:26:31.7,2023-5-2 21:26:33.14,2023-5-2 21:26:43.202,p,2023-5-2 21:26:42.511,d
12,0,4,2023-5-2 21:26:44.807,2023-5-2 21:26:46.814,2023-5-2 21:26:48.826,q,2023-5-2 21:26:48.311,t
12,0,5,2023-5-2 21:26:50.442,2023-5-2 21:26:52.446,2023-5-2 21:26:57.52,p,2023-5-2 21:26:56.447,s
12,0,6,2023-5-2 21:26:58.625,2023-5-2 21:27:0.630,2023-5-2 21:27:4.781,p,2023-5-2 21:27:3.31,#
12,0,7,2023-5-2 21:27:7.450,2023-5-2 21:27:9.454,2023-5-2 21:27:16.423,q,2023-5-2 21:27:15.959,l
12,0,8,2023-5-2 21:27:17.949,2023-5-2 21:27:19.950,2023-5-2 21:27:24.892,q,2023-5-2 21:27:24.455,l
12,0,9,2023-5-2 21:27:26.997,2023-5-2 21:27:28.998,2023-5-2 21:27:35.423,p,2023-5-2 21:27:34.503,r
12,0,10,2023-5-2 21:27:37.151,2023-5-2 21:27:39.158,2023-5-2 21:27:42.645,q,2023-5-2 21:27:41.655,l
12,0,11,2023-5-2 21:27:44.281,2023-5-2 21:27:46.286,2023-5-2 21:27:57.448,q,2023-5-2 21:27:56.287,s
12,1,0,2023-5-2 21:29:26.817,2023-5-2 21:29:31.823,2023-5-2 21:29:37.258,p,2023-5-2 21:29:36.823,d
12,1,1,2023-5-2 21:29:38.741,2023-5-2 21:29:40.742,2023-5-2 21:29:43.787,q,2023-5-2 21:29:43.247,l
12,1,2,2023-5-2 21:29:45.270,2023-5-2 21:29:47.278,2023-5-2 21:29:49.71,q,2023-5-2 21:29:48.279,t
12,1,3,2023-5-2 21:29:50.639,2023-5-2 21:29:52.646,2023-5-2 21:29:56.746,p,2023-5-2 21:29:56.143,d
