ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
6,0,0,2023-5-7 11:39:33.260,2023-5-7 11:39:38.267,2023-5-7 11:39:40.503,p,2023-5-7 11:39:40.267,m
6,0,1,2023-5-7 11:39:41.544,2023-5-7 11:39:43.547,2023-5-7 11:39:46.382,p,2023-5-7 11:39:46.51,c
6,0,2,2023-5-7 11:39:47.73,2023-5-7 11:39:49.75,2023-5-7 11:39:51.865,q,2023-5-7 11:39:51.579,m
6,0,3,2023-5-7 11:39:52.253,2023-5-7 11:39:54.259,2023-5-7 11:39:57.566,p,2023-5-7 11:39:57.259,d
6,0,4,2023-5-7 11:39:58.584,2023-5-7 11:40:0.587,2023-5-7 11:40:4.407,q,2023-5-7 11:40:4.91,c
6,0,5,2023-5-7 11:40:4.958,2023-5-7 11:40:6.963,2023-5-7 11:40:9.235,q,2023-5-7 11:40:8.963,l
6,0,6,2023-5-7 11:40:10.39,2023-5-7 11:40:12.43,2023-5-7 11:40:18.303,p,2023-5-7 11:40:18.43,r
6,0,7,2023-5-7 11:40:18.859,2023-5-7 11:40:20.866,2023-5-7 11:40:25.586,p,2023-5-7 11:40:25.363,t
6,0,8,2023-5-7 11:40:26.540,2023-5-7 11:40:28.547,2023-5-7 11:40:35.363,q,2023-5-7 11:40:35.43,d
6,0,9,2023-5-7 11:40:35.973,2023-5-7 11:40:37.979,2023-5-7 11:40:44.122,p,2023-5-7 11:40:42.979,d
6,0,10,2023-5-7 11:40:47.936,2023-5-7 11:40:49.939,2023-5-7 11:40:56.539,q,2023-5-7 11:40:56.443,r
6,0,11,2023-5-7 11:40:57.926,2023-5-7 11:40:59.931,2023-5-7 11:41:6.773,q,2023-5-7 11:41:6.435,m
6,0,12,2023-5-7 11:41:7.707,2023-5-7 11:41:9.715,2023-5-7 11:41:15.580,q,2023-5-7 11:41:15.211,n
6,0,13,2023-5-7 11:41:16.567,2023-5-7 11:41:18.571,2023-5-7 11:41:25.289,q,2023-5-7 11:41:25.75,t
