ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
4,0,0,2023-4-27 19:11:3.965,2023-4-27 19:11:8.975,2023-4-27 19:11:17.344,p,2023-4-27 19:11:16.975,m
4,0,1,2023-4-27 19:11:20.749,2023-4-27 19:11:22.750,2023-4-27 19:11:25.87,q,2023-4-27 19:11:24.751,t
4,0,2,2023-4-27 19:11:26.909,2023-4-27 19:11:28.910,2023-4-27 19:11:31.105,p,2023-4-27 19:11:30.911,l
4,0,3,2023-4-27 19:11:32.415,2023-4-27 19:11:34.422,2023-4-27 19:11:36.701,q,2023-4-27 19:11:36.423,r
4,0,4,2023-4-27 19:11:38.171,2023-4-27 19:11:40.174,2023-4-27 19:11:44.704,p,2023-4-27 19:11:44.175,s
4,0,5,2023-4-27 19:11:46.879,2023-4-27 19:11:48.886,2023-4-27 19:11:50.504,q,2023-4-27 19:11:50.383,d
4,0,6,2023-4-27 19:11:53.82,2023-4-27 19:11:55.86,2023-4-27 19:12:0.418,p,2023-4-27 19:12:0.87,t
4,0,7,2023-4-27 19:12:2.351,2023-4-27 19:12:4.358,2023-4-27 19:12:8.206,p,2023-4-27 19:12:7.855,n
4,0,8,2023-4-27 19:12:10.75,2023-4-27 19:12:12.78,2023-4-27 19:12:15.104,q,2023-4-27 19:12:14.583,d
4,0,9,2023-4-27 19:12:18.160,2023-4-27 19:12:20.166,2023-4-27 19:12:22.154,p,2023-4-27 19:12:21.663,r
4,0,10,2023-4-27 19:12:24.213,2023-4-27 19:12:26.214,2023-4-27 19:12:31.604,q,2023-4-27 19:12:31.215,l
4,0,11,2023-4-27 19:12:33.520,2023-4-27 19:12:35.526,2023-4-27 19:12:39.725,q,2023-4-27 19:12:39.527,d
4,0,12,2023-4-27 19:12:41.169,2023-4-27 19:12:43.174,2023-4-27 19:12:46.200,p,2023-4-27 19:12:45.670,n
4,0,13,2023-4-27 19:12:48.170,2023-4-27 19:12:50.174,2023-4-27 19:12:55.292,q,2023-4-27 19:12:55.175,t
4,0,14,2023-4-27 19:12:56.591,2023-4-27 19:12:58.598,2023-4-27 19:13:1.61,p,2023-4-27 19:13:0.599,t
4,1,0,2023-4-27 19:14:33.453,2023-4-27 19:14:38.455,2023-4-27 19:14:40.533,q,2023-4-27 19:14:39.959,d
4,1,1,2023-4-27 19:14:42.659,2023-4-27 19:14:44.662,2023-4-27 19:14:47.896,p,2023-4-27 19:14:47.663,l
4,1,2,2023-4-27 19:14:50.707,2023-4-27 19:14:52.710,2023-4-27 19:14:56.390,q,2023-4-27 19:14:55.214,c
4,1,3,2023-4-27 19:14:58.618,2023-4-27 19:15:0.622,2023-4-27 19:15:7.666,p,2023-4-27 19:15:7.127,d
4,1,4,2023-4-27 19:15:10.657,2023-4-27 19:15:12.662,2023-4-27 19:15:16.671,q,2023-4-27 19:15:16.663,r
4,1,5,2023-4-27 19:15:19.217,2023-4-27 19:15:21.222,2023-4-27 19:15:27.306,p,2023-4-27 19:15:26.719,r
4,1,6,2023-4-27 19:15:29.800,2023-4-27 19:15:31.806,2023-4-27 19:15:36.801,q,2023-4-27 19:15:36.303,d
4,1,7,2023-4-27 19:15:38.819,2023-4-27 19:15:40.822,2023-4-27 19:15:44.561,p,2023-4-27 19:15:44.327,c
4,1,8,2023-4-27 19:15:46.605,2023-4-27 19:15:48.606,2023-4-27 19:15:52.519,q,2023-4-27 19:15:52.111,r
4,1,9,2023-4-27 19:15:56.86,2023-4-27 19:15:58.94,2023-4-27 19:16:4.928,p,2023-4-27 19:16:4.591,s
4,1,10,2023-4-27 19:16:7.348,2023-4-27 19:16:9.350,2023-4-27 19:16:12.698,q,2023-4-27 19:16:12.351,s
4,1,11,2023-4-27 19:16:14.649,2023-4-27 19:16:16.654,2023-4-27 19:16:20.617,p,2023-4-27 19:16:20.151,m
4,1,12,2023-4-27 19:16:22.211,2023-4-27 19:16:24.214,2023-4-27 19:16:29.68,q,2023-4-27 19:16:28.215,s
4,2,0,2023-4-27 19:17:53.989,2023-4-27 19:17:58.990,2023-4-27 19:18:2.235,p,2023-4-27 19:18:1.495,l
4,2,1,2023-4-27 19:18:4.553,2023-4-27 19:18:6.558,2023-4-27 19:18:9.302,q,2023-4-27 19:18:8.559,c
4,2,2,2023-4-27 19:18:11.443,2023-4-27 19:18:13.446,2023-4-27 19:18:16.877,p,2023-4-27 19:18:16.447,d
4,2,3,2023-4-27 19:18:19.387,2023-4-27 19:18:21.390,2023-4-27 19:18:26.239,p,2023-4-27 19:18:25.894,n
4,2,4,2023-4-27 19:18:28.999,2023-4-27 19:18:31.6,2023-4-27 19:18:34.329,q,2023-4-27 19:18:34.6,s
4,2,5,2023-4-27 19:18:36.163,2023-4-27 19:18:38.166,2023-4-27 19:18:40.96,p,2023-4-27 19:18:39.671,t
4,2,6,2023-4-27 19:18:41.513,2023-4-27 19:18:43.518,2023-4-27 19:18:47.24,q,2023-4-27 19:18:46.518,c
4,2,7,2023-4-27 19:18:48.866,2023-4-27 19:18:50.870,2023-4-27 19:18:53.251,p,2023-4-27 19:18:52.871,c
4,2,8,2023-4-27 19:18:55.337,2023-4-27 19:18:57.342,2023-4-27 19:19:0.402,q,2023-4-27 19:18:59.343,d
4,2,9,2023-4-27 19:19:2.9,2023-4-27 19:19:4.14,2023-4-27 19:19:6.985,p,2023-4-27 19:19:6.510,c
4,2,10,2023-4-27 19:19:8.910,2023-4-27 19:19:10.918,2023-4-27 19:19:15.287,q,2023-4-27 19:19:14.919,s
4,2,11,2023-4-27 19:19:16.807,2023-4-27 19:19:18.814,2023-4-27 19:19:22.359,p,2023-4-27 19:19:21.814,s
4,2,12,2023-4-27 19:19:24.571,2023-4-27 19:19:26.574,2023-4-27 19:19:33.441,p,2023-4-27 19:19:33.79,m
4,2,13,2023-4-27 19:19:35.746,2023-4-27 19:19:37.750,2023-4-27 19:19:39.748,q,2023-4-27 19:19:39.255,l
4,2,14,2023-4-27 19:19:42.64,2023-4-27 19:19:44.70,2023-4-27 19:19:45.293,p,2023-4-27 19:19:45.71,s
4,2,15,2023-4-27 19:19:46.584,2023-4-27 19:19:48.590,2023-4-27 19:19:51.312,p,2023-4-27 19:19:51.87,s
4,3,0,2023-4-27 19:21:15.362,2023-4-27 19:21:20.366,2023-4-27 19:21:24.301,q,2023-4-27 19:21:23.871,r
4,3,1,2023-4-27 19:21:27.26,2023-4-27 19:21:29.30,2023-4-27 19:21:32.38,p,2023-4-27 19:21:31.534,m
4,4,0,2023-4-27 19:23:25.270,2023-4-27 19:23:30.279,2023-4-27 19:23:33.283,p,2023-4-27 19:23:32.775,l
4,4,1,2023-4-27 19:23:35.286,2023-4-27 19:23:37.294,2023-4-27 19:23:40.351,q,2023-4-27 19:23:39.790,d
4,4,2,2023-4-27 19:23:42.786,2023-4-27 19:23:44.790,2023-4-27 19:23:51.406,p,2023-4-27 19:23:51.295,l
4,4,3,2023-4-27 19:23:53.810,2023-4-27 19:23:55.814,2023-4-27 19:23:58.39,q,2023-4-27 19:23:57.318,t
4,4,4,2023-4-27 19:24:0.337,2023-4-27 19:24:2.342,2023-4-27 19:24:3.995,p,2023-4-27 19:24:3.839,r
4,4,5,2023-4-27 19:24:6.472,2023-4-27 19:24:8.478,2023-4-27 19:24:11.253,p,2023-4-27 19:24:10.975,s
4,4,6,2023-4-27 19:24:12.758,2023-4-27 19:24:14.758,2023-4-27 19:24:16.888,q,2023-4-27 19:24:16.759,t
4,4,7,2023-4-27 19:24:20.232,2023-4-27 19:24:22.238,2023-4-27 19:24:24.64,p,2023-4-27 19:24:23.735,d
4,4,8,2023-4-27 19:24:25.339,2023-4-27 19:24:27.342,2023-4-27 19:24:29.599,p,2023-4-27 19:24:29.343,l
4,4,9,2023-4-27 19:24:31.605,2023-4-27 19:24:33.606,2023-4-27 19:24:34.977,q,2023-4-27 19:24:34.607,r
4,4,10,2023-4-27 19:24:37.585,2023-4-27 19:24:39.590,2023-4-27 19:24:42.319,p,2023-4-27 19:24:42.87,t
4,4,11,2023-4-27 19:24:44.225,2023-4-27 19:24:46.230,2023-4-27 19:24:49.606,q,2023-4-27 19:24:49.231,s
4,4,12,2023-4-27 19:24:51.631,2023-4-27 19:24:53.638,2023-4-27 19:24:56.694,p,2023-4-27 19:24:56.135,n
4,4,13,2023-4-27 19:24:59.175,2023-4-27 19:25:1.182,2023-4-27 19:25:3.687,p,2023-4-27 19:25:3.182,l
4,4,14,2023-4-27 19:25:6.493,2023-4-27 19:25:8.494,2023-4-27 19:25:12.734,q,2023-4-27 19:25:12.494,n
4,4,15,2023-4-27 19:25:16.74,2023-4-27 19:25:18.78,2023-4-27 19:25:22.423,p,2023-4-27 19:25:21.583,r
4,5,0,2023-4-27 19:26:40.391,2023-4-27 19:26:45.399,2023-4-27 19:26:48.674,p,2023-4-27 19:26:48.399,d
4,5,1,2023-4-27 19:26:50.759,2023-4-27 19:26:52.766,2023-4-27 19:26:55.113,q,2023-4-27 19:26:54.263,m
4,5,2,2023-4-27 19:26:56.684,2023-4-27 19:26:58.686,2023-4-27 19:27:2.433,p,2023-4-27 19:27:1.687,d
4,5,3,2023-4-27 19:27:4.198,2023-4-27 19:27:6.206,2023-4-27 19:27:8.864,q,2023-4-27 19:27:8.207,t
4,5,4,2023-4-27 19:27:11.654,2023-4-27 19:27:13.662,2023-4-27 19:27:18.130,p,2023-4-27 19:27:17.662,r
4,5,5,2023-4-27 19:27:19.899,2023-4-27 19:27:21.902,2023-4-27 19:27:28.111,p,2023-4-27 19:27:27.407,r
4,5,6,2023-4-27 19:27:30.580,2023-4-27 19:27:32.582,2023-4-27 19:27:38.376,q,2023-4-27 19:27:38.87,l
4,5,7,2023-4-27 19:27:40.585,2023-4-27 19:27:42.590,2023-4-27 19:27:45.938,p,2023-4-27 19:27:45.590,d
4,5,8,2023-4-27 19:27:47.910,2023-4-27 19:27:49.918,2023-4-27 19:27:53.427,q,2023-4-27 19:27:52.919,m
4,5,9,2023-4-27 19:27:56.84,2023-4-27 19:27:58.86,2023-4-27 19:28:1.734,p,2023-4-27 19:28:1.86,m
4,5,10,2023-4-27 19:28:4.308,2023-4-27 19:28:6.310,2023-4-27 19:28:9.345,p,2023-4-27 19:28:8.815,d
4,5,11,2023-4-27 19:28:12.19,2023-4-27 19:28:14.22,2023-4-27 19:28:16.458,q,2023-4-27 19:28:16.22,d
4,5,12,2023-4-27 19:28:19.769,2023-4-27 19:28:21.774,2023-4-27 19:28:24.631,p,2023-4-27 19:28:24.271,l
4,5,13,2023-4-27 19:28:26.179,2023-4-27 19:28:28.182,2023-4-27 19:28:30.930,p,2023-4-27 19:28:30.687,s
4,5,14,2023-4-27 19:28:33.13,2023-4-27 19:28:35.14,2023-4-27 19:28:38.748,q,2023-4-27 19:28:38.14,t
4,6,0,2023-4-27 19:30:2.602,2023-4-27 19:30:7.607,2023-4-27 19:30:11.423,p,2023-4-27 19:30:11.103,t
4,6,1,2023-4-27 19:30:13.464,2023-4-27 19:30:15.470,2023-4-27 19:30:18.209,q,2023-4-27 19:30:17.966,s
4,7,0,2023-4-27 19:32:13.224,2023-4-27 19:32:18.231,2023-4-27 19:32:21.849,p,2023-4-27 19:32:21.231,d
4,7,1,2023-4-27 19:32:23.630,2023-4-27 19:32:25.638,2023-4-27 19:32:29.257,q,2023-4-27 19:32:28.639,n
4,7,2,2023-4-27 19:32:31.568,2023-4-27 19:32:33.574,2023-4-27 19:32:38.403,p,2023-4-27 19:32:38.71,t
4,7,3,2023-4-27 19:32:40.216,2023-4-27 19:32:42.222,2023-4-27 19:32:47.947,q,2023-4-27 19:32:47.719,d
4,7,4,2023-4-27 19:32:49.911,2023-4-27 19:32:51.918,2023-4-27 19:32:54.491,p,2023-4-27 19:32:53.918,s
4,7,5,2023-4-27 19:32:56.415,2023-4-27 19:32:58.422,2023-4-27 19:33:1.590,q,2023-4-27 19:33:0.919,s
4,7,6,2023-4-27 19:33:3.606,2023-4-27 19:33:5.606,2023-4-27 19:33:7.509,p,2023-4-27 19:33:7.110,m
4,7,7,2023-4-27 19:33:9.200,2023-4-27 19:33:11.206,2023-4-27 19:33:16.135,q,2023-4-27 19:33:15.703,l
4,7,8,2023-4-27 19:33:18.315,2023-4-27 19:33:20.318,2023-4-27 19:33:21.871,p,2023-4-27 19:33:21.319,c
4,7,9,2023-4-27 19:33:24.53,2023-4-27 19:33:26.54,2023-4-27 19:33:28.189,q,2023-4-27 19:33:27.559,n
4,7,10,2023-4-27 19:33:30.109,2023-4-27 19:33:32.110,2023-4-27 19:33:35.944,p,2023-4-27 19:33:35.615,n
4,7,11,2023-4-27 19:33:37.335,2023-4-27 19:33:39.342,2023-4-27 19:33:41.593,q,2023-4-27 19:33:41.343,d
4,7,12,2023-4-27 19:33:43.341,2023-4-27 19:33:45.342,2023-4-27 19:33:47.589,p,2023-4-27 19:33:46.847,s
4,7,13,2023-4-27 19:33:49.572,2023-4-27 19:33:51.574,2023-4-27 19:33:53.932,q,2023-4-27 19:33:53.574,c
4,7,14,2023-4-27 19:33:55.690,2023-4-27 19:33:57.694,2023-4-27 19:34:0.386,p,2023-4-27 19:33:59.694,r
4,7,15,2023-4-27 19:34:2.233,2023-4-27 19:34:4.238,2023-4-27 19:34:6.962,p,2023-4-27 19:34:6.735,c
4,8,0,2023-4-27 19:35:28.527,2023-4-27 19:35:33.535,2023-4-27 19:35:35.642,q,2023-4-27 19:35:35.31,n
4,8,1,2023-4-27 19:35:37.301,2023-4-27 19:35:39.302,2023-4-27 19:35:41.51,p,2023-4-27 19:35:40.807,m
4,8,2,2023-4-27 19:35:42.461,2023-4-27 19:35:44.462,2023-4-27 19:35:47.265,q,2023-4-27 19:35:46.967,c
4,8,3,2023-4-27 19:35:49.90,2023-4-27 19:35:51.94,2023-4-27 19:35:53.776,p,2023-4-27 19:35:53.598,s
4,8,4,2023-4-27 19:35:55.826,2023-4-27 19:35:57.830,2023-4-27 19:35:59.706,q,2023-4-27 19:35:59.327,r
4,8,5,2023-4-27 19:36:1.732,2023-4-27 19:36:3.734,2023-4-27 19:36:6.393,p,2023-4-27 19:36:5.734,d
4,8,6,2023-4-27 19:36:9.538,2023-4-27 19:36:11.542,2023-4-27 19:36:14.127,p,2023-4-27 19:36:13.542,n
4,8,7,2023-4-27 19:36:15.969,2023-4-27 19:36:17.974,2023-4-27 19:36:19.541,q,2023-4-27 19:36:18.975,c
4,8,8,2023-4-27 19:36:21.252,2023-4-27 19:36:23.254,2023-4-27 19:36:25.371,p,2023-4-27 19:36:24.758,d
4,8,9,2023-4-27 19:36:26.953,2023-4-27 19:36:28.958,2023-4-27 19:36:31.214,q,2023-4-27 19:36:30.958,l
4,8,10,2023-4-27 19:36:33.47,2023-4-27 19:36:35.54,2023-4-27 19:36:37.219,p,2023-4-27 19:36:36.551,t
4,8,11,2023-4-27 19:36:39.208,2023-4-27 19:36:41.214,2023-4-27 19:36:44.415,q,2023-4-27 19:36:43.711,s
4,8,12,2023-4-27 19:36:46.61,2023-4-27 19:36:48.62,2023-4-27 19:36:51.512,p,2023-4-27 19:36:51.63,l
4,8,13,2023-4-27 19:36:53.594,2023-4-27 19:36:55.598,2023-4-27 19:36:59.413,p,2023-4-27 19:36:59.103,t
4,8,14,2023-4-27 19:37:1.344,2023-4-27 19:37:3.350,2023-4-27 19:37:5.135,q,2023-4-27 19:37:4.847,d
4,8,15,2023-4-27 19:37:6.833,2023-4-27 19:37:8.838,2023-4-27 19:37:12.429,p,2023-4-27 19:37:12.335,t
4,8,16,2023-4-27 19:37:14.172,2023-4-27 19:37:16.174,2023-4-27 19:37:19.136,p,2023-4-27 19:37:18.175,r
4,8,17,2023-4-27 19:37:22.9,2023-4-27 19:37:24.14,2023-4-27 19:37:27.707,q,2023-4-27 19:37:27.15,m
4,9,0,2023-4-27 19:38:58.734,2023-4-27 19:39:3.735,2023-4-27 19:39:5.891,p,2023-4-27 19:39:5.239,n
4,9,1,2023-4-27 19:39:7.508,2023-4-27 19:39:9.510,2023-4-27 19:39:12.585,q,2023-4-27 19:39:12.15,t
4,9,2,2023-4-27 19:39:13.963,2023-4-27 19:39:15.966,2023-4-27 19:39:18.641,p,2023-4-27 19:39:17.967,l
4,9,3,2023-4-27 19:39:19.802,2023-4-27 19:39:21.806,2023-4-27 19:39:24.88,q,2023-4-27 19:39:23.807,s
4,9,4,2023-4-27 19:39:25.677,2023-4-27 19:39:27.678,2023-4-27 19:39:29.565,p,2023-4-27 19:39:28.679,r
4,9,5,2023-4-27 19:39:31.147,2023-4-27 19:39:33.150,2023-4-27 19:39:37.45,p,2023-4-27 19:39:36.655,s
4,9,6,2023-4-27 19:39:46.417,2023-4-27 19:39:48.422,2023-4-27 19:39:51.82,q,2023-4-27 19:39:50.422,n
4,9,7,2023-4-27 19:39:52.603,2023-4-27 19:39:54.606,2023-4-27 19:39:56.353,p,2023-4-27 19:39:56.111,n
4,9,8,2023-4-27 19:39:57.836,2023-4-27 19:39:59.838,2023-4-27 19:40:2.634,q,2023-4-27 19:40:2.343,n
4,9,9,2023-4-27 19:40:4.166,2023-4-27 19:40:6.174,2023-4-27 19:40:8.386,p,2023-4-27 19:40:7.670,c
4,9,10,2023-4-27 19:40:9.872,2023-4-27 19:40:11.878,2023-4-27 19:40:14.186,p,2023-4-27 19:40:13.375,d
4,9,11,2023-4-27 19:40:16.227,2023-4-27 19:40:18.230,2023-4-27 19:40:19.987,q,2023-4-27 19:40:18.735,l
4,9,12,2023-4-27 19:40:21.884,2023-4-27 19:40:23.886,2023-4-27 19:40:25.837,q,2023-4-27 19:40:25.391,s
4,9,13,2023-4-27 19:40:27.341,2023-4-27 19:40:29.342,2023-4-27 19:40:31.784,p,2023-4-27 19:40:31.343,l
4,9,14,2023-4-27 19:40:34.182,2023-4-27 19:40:36.190,2023-4-27 19:40:38.747,q,2023-4-27 19:40:38.190,t
4,9,15,2023-4-27 19:40:40.412,2023-4-27 19:40:42.414,2023-4-27 19:40:43.989,p,2023-4-27 19:40:43.414,l
4,9,16,2023-4-27 19:40:46.741,2023-4-27 19:40:48.742,2023-4-27 19:40:51.738,q,2023-4-27 19:40:51.247,s
4,10,0,2023-4-27 19:42:16.149,2023-4-27 19:42:21.150,2023-4-27 19:42:24.193,q,2023-4-27 19:42:23.655,m
4,10,1,2023-4-27 19:42:25.770,2023-4-27 19:42:27.774,2023-4-27 19:42:30.348,p,2023-4-27 19:42:29.279,d
4,10,2,2023-4-27 19:42:31.801,2023-4-27 19:42:33.806,2023-4-27 19:42:35.520,q,2023-4-27 19:42:34.806,d
4,10,3,2023-4-27 19:42:37.266,2023-4-27 19:42:39.270,2023-4-27 19:42:42.23,p,2023-4-27 19:42:41.271,s
4,10,4,2023-4-27 19:42:43.788,2023-4-27 19:42:45.790,2023-4-27 19:42:47.94,q,2023-4-27 19:42:46.790,l
4,10,5,2023-4-27 19:42:49.83,2023-4-27 19:42:51.86,2023-4-27 19:42:53.313,p,2023-4-27 19:42:52.591,c
4,10,6,2023-4-27 19:42:55.400,2023-4-27 19:42:57.406,2023-4-27 19:43:0.100,p,2023-4-27 19:42:59.407,r
4,10,7,2023-4-27 19:43:2.24,2023-4-27 19:43:4.30,2023-4-27 19:43:6.535,q,2023-4-27 19:43:6.30,m
4,10,8,2023-4-27 19:43:8.122,2023-4-27 19:43:10.126,2023-4-27 19:43:12.543,p,2023-4-27 19:43:12.127,r
4,10,9,2023-4-27 19:43:13.723,2023-4-27 19:43:15.726,2023-4-27 19:43:18.586,q,2023-4-27 19:43:18.231,c
4,10,10,2023-4-27 19:43:20.581,2023-4-27 19:43:22.582,2023-4-27 19:43:24.621,p,2023-4-27 19:43:24.86,t
4,10,11,2023-4-27 19:43:26.138,2023-4-27 19:43:28.142,2023-4-27 19:43:29.788,q,2023-4-27 19:43:29.646,l
4,10,12,2023-4-27 19:43:31.607,2023-4-27 19:43:33.614,2023-4-27 19:43:36.205,p,2023-4-27 19:43:35.614,s
4,10,13,2023-4-27 19:43:37.600,2023-4-27 19:43:39.606,2023-4-27 19:43:41.562,p,2023-4-27 19:43:41.103,r
4,10,14,2023-4-27 19:43:42.777,2023-4-27 19:43:44.782,2023-4-27 19:43:47.95,q,2023-4-27 19:43:46.279,d
4,10,15,2023-4-27 19:43:48.476,2023-4-27 19:43:50.478,2023-4-27 19:43:52.163,q,2023-4-27 19:43:51.982,r
4,10,16,2023-4-27 19:43:53.815,2023-4-27 19:43:55.822,2023-4-27 19:43:57.468,q,2023-4-27 19:43:56.823,n
