ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
5,0,0,2023-4-26 20:33:5.493,2023-4-26 20:33:10.495,2023-4-26 20:33:12.476,p,2023-4-26 20:33:11.999,s
5,0,1,2023-4-26 20:33:13.962,2023-4-26 20:33:15.967,2023-4-26 20:33:17.845,q,2023-4-26 20:33:16.967,l
5,0,2,2023-4-26 20:33:18.659,2023-4-26 20:33:20.663,2023-4-26 20:33:22.267,p,2023-4-26 20:33:21.663,m
5,0,3,2023-4-26 20:33:23.110,2023-4-26 20:33:25.111,2023-4-26 20:33:27.262,p,2023-4-26 20:33:26.111,n
5,0,4,2023-4-26 20:33:28.175,2023-4-26 20:33:30.183,2023-4-26 20:33:32.711,q,2023-4-26 20:33:32.679,c
5,0,5,2023-4-26 20:33:33.737,2023-4-26 20:33:35.743,2023-4-26 20:33:38.329,q,2023-4-26 20:33:38.239,s
5,0,6,2023-4-26 20:33:39.3,2023-4-26 20:33:41.7,2023-4-26 20:33:43.423,p,2023-4-26 20:33:43.7,l
5,0,7,2023-4-26 20:33:44.337,2023-4-26 20:33:46.343,2023-4-26 20:33:48.534,q,2023-4-26 20:33:46.784,#
5,0,8,2023-4-26 20:33:55.94,2023-4-26 20:33:57.95,2023-4-26 20:33:59.102,p,2023-4-26 20:33:58.599,m
5,0,9,2023-4-26 20:34:0.27,2023-4-26 20:34:2.31,2023-4-26 20:34:4.295,q,2023-4-26 20:34:4.31,l
5,0,10,2023-4-26 20:34:4.987,2023-4-26 20:34:6.991,2023-4-26 20:34:8.347,p,2023-4-26 20:34:7.495,s
5,0,11,2023-4-26 20:34:9.484,2023-4-26 20:34:11.487,2023-4-26 20:34:12.868,q,2023-4-26 20:34:12.488,d
5,0,12,2023-4-26 20:34:13.646,2023-4-26 20:34:15.647,2023-4-26 20:34:18.276,p,2023-4-26 20:34:18.151,d
5,0,13,2023-4-26 20:34:19.143,2023-4-26 20:34:21.151,2023-4-26 20:34:23.664,q,2023-4-26 20:34:21.914,#
5,0,14,2023-4-26 20:34:25.430,2023-4-26 20:34:27.439,2023-4-26 20:34:29.538,p,2023-4-26 20:34:29.439,t
5,0,15,2023-4-26 20:34:30.437,2023-4-26 20:34:32.439,2023-4-26 20:34:35.521,q,2023-4-26 20:34:34.439,n
5,0,16,2023-4-26 20:34:37.92,2023-4-26 20:34:39.95,2023-4-26 20:34:41.106,p,2023-4-26 20:34:40.95,l
5,0,17,2023-4-26 20:34:41.894,2023-4-26 20:34:43.895,2023-4-26 20:34:45.300,q,2023-4-26 20:34:43.896,m
