ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
8,0,0,2023-4-23 12:21:36.404,2023-4-23 12:21:41.407,2023-4-23 12:21:43.356,q,2023-4-23 12:21:42.407,d
8,0,1,2023-4-23 12:21:44.949,2023-4-23 12:21:46.951,2023-4-23 12:21:49.741,p,2023-4-23 12:21:48.951,m
8,0,2,2023-4-23 12:21:50.849,2023-4-23 12:21:52.855,2023-4-23 12:21:56.310,q,2023-4-23 12:21:55.855,t
8,0,3,2023-4-23 12:21:57.929,2023-4-23 12:21:59.935,2023-4-23 12:22:2.428,q,2023-4-23 12:22:1.935,t
8,0,4,2023-4-23 12:22:3.864,2023-4-23 12:22:5.871,2023-4-23 12:22:12.121,q,2023-4-23 12:22:11.367,t
8,0,5,2023-4-23 12:22:13.550,2023-4-23 12:22:15.551,2023-4-23 12:22:18.335,q,2023-4-23 12:22:17.551,c
8,0,6,2023-4-23 12:22:19.980,2023-4-23 12:22:21.982,2023-4-23 12:22:24.299,q,2023-4-23 12:22:23.486,r
8,0,7,2023-4-23 12:22:25.738,2023-4-23 12:22:27.743,2023-4-23 12:22:29.748,q,2023-4-23 12:22:29.247,t
8,0,8,2023-4-23 12:22:31.165,2023-4-23 12:22:33.166,2023-4-23 12:22:36.371,p,2023-4-23 12:22:35.671,d
8,0,9,2023-4-23 12:22:37.912,2023-4-23 12:22:39.919,2023-4-23 12:22:42.209,q,2023-4-23 12:22:41.415,m
8,0,10,2023-4-23 12:22:43.812,2023-4-23 12:22:45.815,2023-4-23 12:22:47.917,q,2023-4-23 12:22:47.319,d
8,0,11,2023-4-23 12:22:49.699,2023-4-23 12:22:51.702,2023-4-23 12:22:54.157,q,2023-4-23 12:22:53.703,t
8,0,12,2023-4-23 12:22:56.152,2023-4-23 12:22:58.159,2023-4-23 12:23:1.31,q,2023-4-23 12:23:0.655,c
8,0,13,2023-4-23 12:23:2.629,2023-4-23 12:23:4.631,2023-4-23 12:23:7.522,q,2023-4-23 12:23:7.135,r
8,0,14,2023-4-23 12:23:9.116,2023-4-23 12:23:11.119,2023-4-23 12:23:13.971,p,2023-4-23 12:23:13.623,d
8,0,15,2023-4-23 12:23:15.747,2023-4-23 12:23:17.751,2023-4-23 12:23:20.917,p,2023-4-23 12:23:20.255,l
8,0,16,2023-4-23 12:23:22.470,2023-4-23 12:23:24.479,2023-4-23 12:23:29.524,q,2023-4-23 12:23:28.975,s
8,1,0,2023-4-23 12:25:35.928,2023-4-23 12:25:40.935,2023-4-23 12:25:44.23,q,2023-4-23 12:25:43.431,l
8,1,1,2023-4-23 12:25:45.449,2023-4-23 12:25:47.455,2023-4-23 12:25:51.344,p,2023-4-23 12:25:50.951,d
8,1,2,2023-4-23 12:25:53.34,2023-4-23 12:25:55.39,2023-4-23 12:25:58.431,q,2023-4-23 12:25:58.39,t
8,1,3,2023-4-23 12:26:1.56,2023-4-23 12:26:3.63,2023-4-23 12:26:6.503,p,2023-4-23 12:26:6.63,t
8,1,4,2023-4-23 12:26:8.14,2023-4-23 12:26:10.22,2023-4-23 12:26:13.242,p,2023-4-23 12:26:13.23,n
8,1,5,2023-4-23 12:26:14.725,2023-4-23 12:26:16.727,2023-4-23 12:26:20.242,q,2023-4-23 12:26:19.727,s
8,1,6,2023-4-23 12:26:21.955,2023-4-23 12:26:23.959,2023-4-23 12:26:27.293,q,2023-4-23 12:26:26.959,t
8,1,7,2023-4-23 12:26:29.41,2023-4-23 12:26:31.46,2023-4-23 12:26:34.774,p,2023-4-23 12:26:34.543,m
