ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
18,0,0,2023-5-18 19:22:39.294,2023-5-18 19:22:44.302,2023-5-18 19:22:46.205,q,2023-5-18 19:22:45.799,r
18,0,1,2023-5-18 19:22:47.790,2023-5-18 19:22:49.798,2023-5-18 19:22:56.55,p,2023-5-18 19:22:54.798,r
18,0,2,2023-5-18 19:22:58.71,2023-5-18 19:23:0.78,2023-5-18 19:23:6.231,q,2023-5-18 19:23:5.574,r
18,0,3,2023-5-18 19:23:7.539,2023-5-18 19:23:9.542,2023-5-18 19:23:16.482,p,2023-5-18 19:23:16.46,c
18,0,4,2023-5-18 19:23:18.278,2023-5-18 19:23:20.286,2023-5-18 19:23:28.467,p,2023-5-18 19:23:27.782,d
18,0,5,2023-5-18 19:23:30.76,2023-5-18 19:23:32.78,2023-5-18 19:23:38.606,q,2023-5-18 19:23:38.78,n
18,0,6,2023-5-18 19:23:40.181,2023-5-18 19:23:42.182,2023-5-18 19:23:46.17,p,2023-5-18 19:23:45.686,s
18,0,7,2023-5-18 19:23:47.888,2023-5-18 19:23:49.894,2023-5-18 19:23:55.776,p,2023-5-18 19:23:55.390,t
18,0,8,2023-5-18 19:23:57.722,2023-5-18 19:23:59.726,2023-5-18 19:24:9.711,q,2023-5-18 19:24:9.230,s
18,0,9,2023-5-18 19:24:11.981,2023-5-18 19:24:13.982,2023-5-18 19:24:21.521,p,2023-5-18 19:24:20.982,l
18,0,10,2023-5-18 19:24:22.980,2023-5-18 19:24:24.982,2023-5-18 19:24:33.92,p,2023-5-18 19:24:32.486,m
18,1,0,2023-5-18 19:26:46.201,2023-5-18 19:26:51.206,2023-5-18 19:26:55.718,q,2023-5-18 19:26:55.206,t
18,1,1,2023-5-18 19:26:56.732,2023-5-18 19:26:58.734,2023-5-18 19:27:4.358,p,2023-5-18 19:27:3.734,l
18,1,2,2023-5-18 19:27:5.665,2023-5-18 19:27:7.670,2023-5-18 19:27:13.235,q,2023-5-18 19:27:12.670,n
18,1,3,2023-5-18 19:27:14.446,2023-5-18 19:27:16.454,2023-5-18 19:27:22.642,p,2023-5-18 19:27:21.950,s
18,1,4,2023-5-18 19:27:24.80,2023-5-18 19:27:26.86,2023-5-18 19:27:32.227,p,2023-5-18 19:27:31.582,t
18,1,5,2023-5-18 19:27:33.324,2023-5-18 19:27:35.326,2023-5-18 19:27:43.796,q,2023-5-18 19:27:43.326,r
