id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
200740,450,50,LSTM,0,28,128,,,,,3,False,,+ACI-0,3+ACI-
200750,800,200,LSTM,1,28,256,,,,,4,True,,+ACI-0,5+ACI-
200760,350,150,LSTM,2,28,16,,,,,5,False,,+ACI-0,4+ACI-
200770,750,0,LSTM,0,28,32,,,,,2,False,,+ACI-0,4+ACI-
200780,900,100,LSTM,1,28,64,,,,,3,True,,+ACI-0,4+ACI-
200790,2400,100,LSTM,2,28,128,,,,,4,False,,+ACI-0,4+ACI-
200800,600,150,LSTM,0,28,256,,,,,5,True,,+ACI-0,3+ACI-
200810,2200,300,LSTM,1,28,16,,,,,2,True,,+ACI-0,3+ACI-
200820,1700,300,LSTM,1,28,32,,,,,3,False,,+ACI-0,3+ACI-
200830,2500,0,LSTM,2,28,64,,,,,4,True,,+ACI-0,3+ACI-
200840,1800,200,LSTM,0,28,128,,,,,5,False,,+ACI-0,4+ACI-
200850,450,300,LSTM,1,28,256,,,,,2,False,,+ACI-0,3+ACI-
200860,1500,0,LSTM,0,28,16,,,,,3,True,,+ACI-0,5+ACI-
200870,500,250,LSTM,1,28,32,,,,,4,False,,+ACI-0,3+ACI-
200880,2500,0,LSTM,2,28,64,,,,,5,True,,+ACI-0,5+ACI-
200890,2800,200,LSTM,0,28,128,,,,,2,True,,+ACI-0,4+ACI-
200900,200,50,LSTM,0,28,256,,,,,3,False,,+ACI-0,5+ACI-
200910,500,0,LSTM,1,28,16,,,,,4,True,,+ACI-0,5+ACI-
200920,1300,200,LSTM,2,28,32,,,,,5,False,,+ACI-0,5+ACI-
200930,550,200,LSTM,0,28,64,,,,,2,False,,+ACI-0,4+ACI-
200940,2000,0,LSTM,1,28,128,,,,,3,True,,+ACI-0,3+ACI-
200950,1900,100,LSTM,2,28,256,,,,,4,False,,+ACI-0,3+ACI-
200960,150,100,LSTM,0,28,16,,,,,5,True,,+ACI-0,4+ACI-
200970,500,0,LSTM,1,28,32,,,,,2,True,,+ACI-0,3+ACI-
200980,1000,0,LSTM,2,28,64,,,,,3,False,,+ACI-0,4+ACI-
200990,450,300,LSTM,0,28,128,,,,,4,True,,+ACI-0,4+ACI-
201000,2700,300,LSTM,1,28,256,,,,,5,False,,+ACI-0,5+ACI-
201010,350,150,LSTM,2,28,16,,,,,2,False,,+ACI-0,5+ACI-
201020,2300,200,LSTM,0,28,32,,,,,3,True,,+ACI-0,5+ACI-
201030,2800,200,LSTM,1,28,64,,,,,4,False,,+ACI-0,4+ACI-
